Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,Flagged,Flagged_Equation,stake_x,stake_y,global_x,global_y,AverageE,AverageN,POINT_X,POINT_Y,Land_use,AREASYMBOL,SPATIALVER,MUSYM,MUKEY
1,201,ACESAC,3.4,1.043,1.365,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,1.043,21.365,721339.6282,4846106.707,721329.4431,4846101.241,Managed Forest,NH009,9,130E,281049
1,202,TSUCAN,9.1,3.173,5.821,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,3.173,25.821,721344.0842,4846104.577,721334.1325,4846099.418,Managed Forest,NH009,9,130E,281049
1,203,CARCAR,4.5,2.175,5.333,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,2.175,25.333,721343.5962,4846105.575,721333.5313,4846100.406,Managed Forest,NH009,9,130E,281049
1,204,TSUCAN,11.6,1.414,6.283,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,1.414,26.283,721344.5462,4846106.336,721334.3918,4846101.27,Managed Forest,NH009,9,130E,281049
1,205,TSUCAN,12.1,0.154,8.863,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,0.154,28.863,721347.1262,4846107.596,721336.8213,4846102.785,Managed Forest,NH009,9,130E,281049
1,206,TSUCAN,5.8,0.732,9.515,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,0.732,29.515,721347.7782,4846107.018,721337.538,4846102.244,Managed Forest,NH009,9,130E,281049
1,207,TSUCAN,7.3,4.406,8.13,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,4.406,28.13,721346.3932,4846103.344,721336.5772,4846098.341,Managed Forest,NH009,9,130E,281049
1,208,TSUCAN,11.5,4.695,9.026,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,4.695,29.026,721347.2892,4846103.055,721337.5042,4846098.118,Managed Forest,NH009,9,130E,281049
1,209,FRAAME,36.4,6.086,9.134,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,6.086,29.134,721347.3972,4846101.664,721337.7713,4846096.693,Managed Forest,NH009,9,130E,281049
1,210,TSUCAN,10.4,6.69,8.265,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,6.69,28.265,721346.5282,4846101.06,721336.9736,4846095.998,Managed Forest,NH009,9,130E,281049
1,211,FRANIG,51.2,7.372,9.297,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,7.372,29.297,721347.5602,4846100.378,721338.0812,4846095.382,Managed Forest,NH009,9,130E,281049
1,212,TSUCAN,11.7,7.635,8.211,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,7.635,28.211,721346.4742,4846100.115,721337.0279,4846095.019,Managed Forest,NH009,9,130E,281049
1,213,TSUCAN,15.5,8.317,4.762,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,8.317,24.762,721343.0252,4846099.433,721333.6653,4846094.027,Managed Forest,NH009,9,130E,281049
1,214,ACESAC,6.8,7.635,3.405,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,7.635,23.405,721341.6682,4846100.115,721332.2334,4846094.616,Managed Forest,NH009,9,130E,281049
1,215,TSUCAN,25.4,5.325,1.884,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,5.325,21.884,721340.1472,4846102.425,721330.4514,4846096.87,Managed Forest,NH009,9,130E,281049
1,216,ACESAC,11,1.991,0.988,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,1.991,20.988,721339.2512,4846105.759,721329.1756,4846100.232,Managed Forest,NH009,9,130E,281049
1,217,TSUCAN,17.5,0.968,11.714,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,0.968,31.714,721349.9772,4846106.782,721339.7588,4846102.185,Managed Forest,NH009,9,130E,281049
1,218,TSUCAN,21.7,2.93,14.389,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,2.93,34.389,721352.6522,4846104.82,721342.6522,4846100.387,Managed Forest,NH009,9,130E,281049
1,219,ACESAC,49.4,4.688,17.675,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,4.688,37.675,721355.9382,4846103.062,721346.1318,4846098.851,Managed Forest,NH009,9,130E,281049
1,220,TSUCAN,14.1,7.575,10.859,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,7.575,30.859,721349.1222,4846100.175,721339.6628,4846095.303,Managed Forest,NH009,9,130E,281049
1,221,TSUCAN,9.3,5.449,11.728,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,5.449,31.728,721349.9912,4846102.301,721340.2861,4846097.568,Managed Forest,NH009,9,130E,281049
1,222,TSUCAN,12.5,5.213,12.325,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,5.213,32.325,721350.5882,4846102.537,721340.8547,4846097.861,Managed Forest,NH009,9,130E,281049
1,223,TSUCAN,11.6,2.894,10.652,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,2.894,30.652,721348.9152,4846104.856,721338.92,4846100.111,Managed Forest,NH009,9,130E,281049
1,226,TSUCAN,17.3,11.388,13.52,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,11.388,33.52,721351.7832,4846096.362,721342.7542,4846091.596,Managed Forest,NH009,9,130E,281049
1,227,TSUCAN,15.7,12.543,16.779,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,12.543,36.779,721355.0422,4846095.207,721346.1378,4846090.678,Managed Forest,NH009,9,130E,281049
