Species_code,X,Y,Clusters_id,Land_use,Soil_type,UTM18N_Easting,UTM18N_Northing,Longitude,Latitude,Elevation(m),DBH
TSUCAN,14.61,34.267,1,Managed Forest,130E,721343.8686,4846088.337,-72.25147222303649,43.73478467288659,122.09,15.1
FRANIG,14.032,34.185,1,Managed Forest,130E,721343.7206,4846088.926,-72.25147381627025,43.734790014264824,122.09,47
TSUCAN,14.583,33.534,1,Managed Forest,130E,721343.1342,4846088.304,-72.2514813456503,43.73478459530703,122.09,18
TSUCAN,15.082,30.193,1,Managed Forest,130E,721339.8584,4846087.509,-72.2515223038443,43.734778423202215,121.97,17.1
TSUCAN,18.1,30.655,1,Managed Forest,130E,721340.665,4846084.437,-72.25151356387335,43.73475055425359,122.02,12.4
TSUCAN,10.725,30.574,1,Managed Forest,130E,721339.7393,4846092.032,-72.25152191920861,43.73481913659013,122.07,11.5
TSUCAN,10.62,25.502,1,Managed Forest,130E,721334.6674,4846091.715,-72.25158495835176,43.73481779948063,121.64,9.8
TSUCAN,10.358,29.033,1,Managed Forest,130E,721338.1599,4846092.281,-72.25154140659193,43.73482184740348,122.01,16.4
TSUCAN,14.61,25.041,1,Managed Forest,130E,721334.6646,4846087.564,-72.25158670178571,43.734780468077076,122,18
TSUCAN,10.41,20.859,2,Managed Forest,130E,721330.0114,4846091.543,-72.25164277924586,43.73481764226897,121.5,23.4
TSUCAN,10.384,22.787,2,Managed Forest,130E,721331.9318,4846091.731,-72.25161888242603,43.73481875987744,121.48,15.9
TSUCAN,13.14,27.295,1,Managed Forest,130E,721336.7448,4846089.268,-72.25156019887596,43.73479517220405,121.88,15.6
TSUCAN,15.03,27.186,1,Managed Forest,130E,721336.8526,4846087.311,-72.2515596673739,43.73477753964506,121.96,9.8
TILAME,17.208,28.082,1,Managed Forest,130E,721337.996,4846085.141,-72.25154637863419,43.734757682356445,122.04,20.5
TSUCAN,16.841,26.453,1,Managed Forest,130E,721336.3288,4846085.382,-72.25156695830697,43.73476034742289,122.07,14
TSUCAN,18.179,22.895,2,Managed Forest,130E,721332.9326,4846083.705,-72.25160977290119,43.73474627890841,121.93,19.6
TSUCAN,19.078,27.532,1,Managed Forest,130E,721337.6615,4846083.167,-72.25155134013727,43.73474002892353,122.05,13.6
FRAAME,19.734,20.608,2,Managed Forest,130E,721330.8292,4846081.91,-72.25163660099314,43.73473076327999,121.77,45.5
TSUCAN,19.839,21.042,2,Managed Forest,130E,721331.2742,4846081.838,-72.25163111113845,43.73472998292586,121.83,16.8
TSUCAN,13.724,22.264,2,Managed Forest,130E,721331.7927,4846088.244,-72.25162204309424,43.73478744087376,121.6,18.9
TSUCAN,17.871,21.232,2,Managed Forest,130E,721331.2383,4846083.883,-72.25163071463709,43.73474838545803,121.85,25.8
ACESAC,1.32,45.176,1,Managed Forest,130E,721353.229,4846102.951,-72.25135010643295,43.734913310639925,123.48,24.4
FRAAME,0.656,48.839,1,Managed Forest,130E,721356.8072,4846103.943,-72.25130531624589,43.73492116414171,124.28,35.1
TSUCAN,2.28,48.162,1,Managed Forest,130E,721356.3179,4846102.212,-72.25131209784122,43.734905742363246,123.75,8.9
CARGLA,2.026,48.487,1,Managed Forest,130E,721356.613,4846102.501,-72.25130831862666,43.7349082534109,123.75,31
TSUCAN,4.209,47.809,1,Managed Forest,130E,721356.1867,4846100.194,-72.25131455593343,43.734887632541074,123.01,9.5
CARCAR,9.31,45.668,1,Managed Forest,130E,721354.6352,4846094.756,-72.251336038471,43.734839188736316,122.46,5.1
CARCAR,8.6,41.793,1,Managed Forest,130E,721350.6881,4846095.163,-72.25138482827373,43.734844027314466,122.38,5.2
TSUCAN,6.772,41.468,1,Managed Forest,130E,721350.1545,4846097.02,-72.25139068224874,43.734860887616954,122.3,22.2
FRANIG,2.94,53.148,1,Managed Forest,130E,721361.3676,4846101.949,-72.25124957274167,43.734901869687114,123.63,31
FRANIG,5.478,55.56,1,Managed Forest,130E,721364.0646,4846099.535,-72.25121711464328,43.73487935416863,122.83,15.6
TSUCAN,4.057,56.861,1,Managed Forest,130E,721365.1997,4846101.109,-72.25120238755916,43.73489317117238,123.89,23.6
FRAAME,5.224,56.996,1,Managed Forest,130E,721365.4681,4846099.918,-72.25119954882138,43.73488237973249,122.87,16.4
FAGGRA,5.224,58.622,1,Managed Forest,130E,721367.0902,4846100.054,-72.25117937330857,43.73488311863072,123.37,8.3
