OID_,Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,stake_x,stake_y,global_x,global_y,global_y_neg,global_x_neg,N18UTMFrom0313E,N18UTMFrom0313N,Land_use
54,1,212,TSUCAN,11.7,7.635,8.211,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,7.635,28.211,-28.211,-7.635,721337.0279,4846095.019,Managed Forest
55,1,213,TSUCAN,15.5,8.317,4.762,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,8.317,24.762,-24.762,-8.317,721333.6653,4846094.027,Managed Forest
56,1,214,ACESAC,6.8,7.635,3.405,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,20,7.635,23.405,-23.405,-7.635,721332.2334,4846094.616,Managed Forest
57,1,215,TSUCAN,25.4,5.325,1.884,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,5.325,21.884,-21.884,-5.325,721330.4514,4846096.87,Managed Forest
58,1,216,ACESAC,11,1.991,0.988,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,20,1.991,20.988,-20.988,-1.991,721329.1756,4846100.232,Managed Forest
59,1,217,TSUCAN,17.5,0.968,11.714,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,0.968,31.714,-31.714,-0.968,721339.7588,4846102.185,Managed Forest
60,1,218,TSUCAN,21.7,2.93,14.389,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,2.93,34.389,-34.389,-2.93,721342.6522,4846100.387,Managed Forest
61,1,219,ACESAC,49.4,4.688,17.675,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,20,4.688,37.675,-37.675,-4.688,721346.1318,4846098.851,Managed Forest
62,1,220,TSUCAN,14.1,7.575,10.859,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,7.575,30.859,-30.859,-7.575,721339.6628,4846095.303,Managed Forest
63,1,221,TSUCAN,9.3,5.449,11.728,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,5.449,31.728,-31.728,-5.449,721340.2861,4846097.568,Managed Forest
64,1,222,TSUCAN,12.5,5.213,12.325,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,5.213,32.325,-32.325,-5.213,721340.8547,4846097.861,Managed Forest
65,1,223,TSUCAN,11.6,2.894,10.652,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,2.894,30.652,-30.652,-2.894,721338.92,4846100.111,Managed Forest
66,1,226,TSUCAN,17.3,11.388,13.52,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,11.388,33.52,-33.52,-11.388,721342.7542,4846091.596,Managed Forest
67,1,227,TSUCAN,15.7,12.543,16.779,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,12.543,36.779,-36.779,-12.543,721346.1378,4846090.678,Managed Forest
68,1,228,TSUCAN,22,12.123,18.652,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,12.123,38.652,-38.652,-12.123,721347.9582,4846091.268,Managed Forest
69,1,229,TSUCAN,13.5,16.637,13.71,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,16.637,33.71,-33.71,-16.637,721343.5451,4846086.201,Managed Forest
70,1,231,TSUCAN,17.7,16.969,16.456,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,16.969,36.456,-36.456,-16.969,721346.3226,4846086.089,Managed Forest
71,1,232,TSUCAN,12,18.73,17.145,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,18.73,37.145,-37.145,-18.73,721347.2117,4846084.331,Managed Forest
72,1,233,TSUCAN,14.8,18.678,12.8,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,18.678,32.8,-32.8,-18.678,721342.8711,4846084.021,Managed Forest
73,1,234,TSUCAN,15.1,14.61,14.267,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,14.61,34.267,-34.267,-14.61,721343.8686,4846088.337,Managed Forest
74,1,235,FRANIG,47,14.032,14.185,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,20,14.032,34.185,-34.185,-14.032,721343.7206,4846088.926,Managed Forest
75,1,236,TSUCAN,18,14.583,13.534,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,14.583,33.534,-33.534,-14.583,721343.1342,4846088.304,Managed Forest
76,1,237,TSUCAN,17.1,15.082,10.193,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,15.082,30.193,-30.193,-15.082,721339.8584,4846087.509,Managed Forest
77,1,238,TSUCAN,12.4,18.1,10.655,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,18.1,30.655,-30.655,-18.1,721340.665,4846084.437,Managed Forest
78,1,239,TSUCAN,11.5,10.725,10.574,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,10.725,30.574,-30.574,-10.725,721339.7393,4846092.032,Managed Forest
79,1,240,TSUCAN,9.8,10.62,5.502,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,10.62,25.502,-25.502,-10.62,721334.6674,4846091.715,Managed Forest
80,1,241,TSUCAN,16.4,10.358,9.033,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,10.358,29.033,-29.033,-10.358,721338.1599,4846092.281,Managed Forest
81,1,242,TSUCAN,18,14.61,5.041,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,14.61,25.041,-25.041,-14.61,721334.6646,4846087.564,Managed Forest
82,1,243,TSUCAN,23.4,10.41,0.859,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,10.41,20.859,-20.859,-10.41,721330.0114,4846091.543,Managed Forest
83,1,244,TSUCAN,15.9,10.384,2.787,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,10.384,22.787,-22.787,-10.384,721331.9318,4846091.731,Managed Forest
84,1,245,TSUCAN,15.6,13.14,7.295,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,13.14,27.295,-27.295,-13.14,721336.7448,4846089.268,Managed Forest
85,1,246,TSUCAN,9.8,15.03,7.186,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,15.03,27.186,-27.186,-15.03,721336.8526,4846087.311,Managed Forest
86,1,247,TILAME,20.5,17.208,8.082,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,20,17.208,28.082,-28.082,-17.208,721337.996,4846085.141,Managed Forest
87,1,248,TSUCAN,14,16.841,6.453,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,16.841,26.453,-26.453,-16.841,721336.3288,4846085.382,Managed Forest
88,1,249,TSUCAN,19.6,18.179,2.895,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,18.179,22.895,-22.895,-18.179,721332.9326,4846083.705,Managed Forest
89,1,250,TSUCAN,13.6,19.078,7.532,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,19.078,27.532,-27.532,-19.078,721337.6615,4846083.167,Managed Forest
